%SP Distance (m),simulated V
1412.626322,-47.40356863
1413.313659,-47.45939113
1413.992004,-47.51460852
1414.679341,-47.57068606
1416.36406,-47.70869112
1425.238764,-48.44944455
1425.830669,-48.49972084
1426.412108,-48.54921963
1427.595918,-48.65034466
1428.764063,-48.75059245
1429.355968,-48.80156584
1430.948335,-48.93929855
1431.54024,-48.99072259
1432.132145,-49.04227128
1432.72405,-49.09394572
1433.305489,-49.14482998
1433.897394,-49.19675701
1434.489299,-49.24881314
1435.657445,-49.35193103
1436.24935,-49.40437781
1436.841255,-49.45695828
1437.433161,-49.50967371
1438.014599,-49.56158934
1439.429953,-49.68851982
1441.458622,-49.87185519
1442.050527,-49.92566458
1442.547571,-49.97096283
1443.225916,-50.0329513
1443.722959,-50.07849566
1445.073539,-50.20278487
1447.921641,-50.46750999
1448.513547,-50.52298419
1448.998079,-50.56851478
1449.589984,-50.62428239
1450.087028,-50.67123867
1450.678933,-50.72730816
1451.750649,-50.82925281
1452.247693,-50.87672055
1452.829131,-50.9324004
1453.421037,-50.98925304
1453.91808,-51.037128
1454.509986,-51.094301
1454.897611,-51.13183772
1455.394655,-51.18008179
1455.976094,-51.23667758
1456.473138,-51.28519664
1457.448518,-51.38078252
1458.658008,-51.50000876
1459.14254,-51.54799169
1459.639584,-51.59734592
1460.124116,-51.64558768
1460.62116,-51.69520952
1461.118204,-51.74496851
1461.699642,-51.80335172
1462.675023,-51.90172131
1463.172067,-51.95205895
1463.66911,-52.00253948
1464.347456,-52.07166632
1465.998588,-52.24106604
1466.580027,-52.30111084
1467.077071,-52.35260435
1467.574115,-52.40425049
1469.340676,-52.58906255
1469.932582,-52.65143114
1470.524487,-52.71402692
1471.021531,-52.76676814
1471.60297,-52.82867189
1472.100014,-52.88176935
1472.691919,-52.94521773
1473.763636,-53.06070756
1474.355541,-53.12483284
1474.947446,-53.18920385
1475.539352,-53.25382332
1476.790818,-53.39127798
1478.06995,-53.53295807
1478.661855,-53.59893293
1479.349193,-53.67587878
1480.555389,-53.81179033
1481.524842,-53.92185441
1483.466137,-54.14453177
1484.649948,-54.28185297
1485.337286,-54.3621295
1485.929191,-54.43158673
1486.521097,-54.50135015
1487.102536,-54.57018148
1487.683975,-54.63931524
1488.27588,-54.71000782
1489.347596,-54.83882497
1489.939502,-54.91043017
1492.347233,-55.20517325
1492.939139,-55.2785068
1493.531044,-55.35219463
1494.619814,-55.48867955
1495.201253,-55.56207478
1495.734071,-55.62964811
1496.325977,-55.70507353
1496.917883,-55.78088107
1497.605221,-55.86939731
1498.102265,-55.93373734
1499.401591,-56.1032632
1501.595012,-56.39396231
1502.711625,-56.54421122
1503.208669,-56.61159845
1503.800575,-56.69226086
1505.195619,-56.88418985
1505.692663,-56.95320272
1506.284569,-57.03582779
1506.876474,-57.11893906
1507.373518,-57.18911175
1507.965424,-57.27313766
1508.652762,-57.37134914
1510.259565,-57.60368527
1513.008917,-58.01056714
1513.590357,-58.09819593
1514.277695,-58.20252355
1514.956041,-58.30628606
1515.547946,-58.39748766
