DCx,X,Z,K,Theta,q
2708,18312,-1.298000,0.000373149,32.97022769,1.887389241
2713,18307,-1.298000,0.000374522,217.2478729,0.886870896
2718,18302,-1.298000,0.00037507,228.7420855,1.851013573
2723,18297,-1.298000,0.000376414,147.6541208,2.965510292
2728,18292,-1.298000,0.000377423,250.2020753,1.032026676
2733,18287,-1.298000,0.000377043,77.5068567,0.718933999
2738,18282,-1.298000,0.000377083,27.66240715,0.001191318
2743,18277,-1.298000,0.000377193,84.8319427,2.727869557
2748,18272,-1.298000,0.000378591,57.29191355,1.882621372
2753,18267,-1.298000,0.000377641,258.1642892,2.358687895
2758,18262,-1.298000,0.000379132,359.5844545,2.246149008
2763,18257,-1.298000,0.000380557,141.6901569,1.850692903
2768,18252,-1.298000,0.000382386,7.249631079,0.550204744
2773,18247,-1.298000,0.00038531,226.602814,2.530779741
2778,18242,-1.298000,0.000386556,63.74143093,2.147978818
2783,18237,-1.298000,0.000388538,211.9818545,1.955404007
2788,18232,-1.298000,0.000389408,190.8882338,1.838421215
2793,18227,-1.298000,0.000389504,123.6235908,2.621358412
2798,18222,-1.298000,0.000390208,257.5497523,2.378031815
2803,18217,-1.298000,0.000387664,126.2112353,2.173274928
2808,18212,-1.298000,0.000385014,195.5419328,1.227463288
2813,18207,-1.298000,0.000385402,168.7321784,2.992960207
2818,18202,-1.298000,0.000384606,4.696625897,1.871425511
2823,18197,-1.298000,0.00038534,47.20736402,1.059495761
2828,18192,-1.298000,0.000388089,250.9122583,0.548169424
2833,18187,-1.298000,0.000389594,143.8529394,0.962713054
2838,18182,-1.298000,0.000389865,79.50038223,0.766820299
2843,18177,-1.298000,0.000388304,40.29118114,2.823254242
2848,18172,-1.298000,0.000384953,155.4059931,2.678720027
2853,18167,-1.298000,0.000380976,107.6273299,2.964156324
2858,18162,-1.298000,0.000374805,230.1257856,2.857415925
2863,18157,-1.298000,0.000373911,29.73534813,2.622620753
2868,18152,-1.298000,0.000374989,29.61912905,0.486730502
2873,18147,-1.298000,0.000374213,288.9042609,0.440065239
2878,18142,-1.298000,0.000370997,266.5287352,1.949409301
2883,18137,-1.298000,0.000372993,138.9898966,2.370257823
2888,18132,-1.298000,0.000375763,354.9769676,0.216904828
2893,18127,-1.298000,0.000374794,217.7992436,0.733558321
2898,18122,-1.298000,0.000374644,130.2505889,0.032121456
2903,18117,-1.298000,0.000374373,273.971649,0.697624226
2908,18112,-1.298000,0.00037353,258.9148498,0.764564637
2913,18107,-1.298000,0.00037232,186.5196765,2.736563886
2918,18102,-1.298000,0.000371118,39.2817951,1.102639718
2923,18097,-1.298000,0.000370441,39.05923103,0.114102071
2928,18092,-1.298000,0.000370103,72.99867459,1.95249695
2933,18087,-1.298000,0.000368097,253.7725332,2.449100591
2938,18082,-1.298000,0.000366289,247.6797623,0.251251224
2943,18077,-1.298000,0.000365892,305.1713327,0.034443142
2948,18072,-1.298000,0.000364726,222.3188848,1.096845967
2953,18067,-1.298000,0.000362589,283.7852684,1.238296327
2958,18062,-1.298000,0.000362447,225.8400028,1.24806297
2963,18057,-1.298000,0.000363016,41.65693376,1.390128045
2968,18052,-1.298000,0.000363882,82.96580035,1.398019538
2973,18047,-1.298000,0.000364061,113.0387569,1.644475597
2978,18042,-1.298000,0.000364178,112.7291499,1.598072765
2983,18037,-1.298000,0.000364482,331.3951662,1.523077662
2988,18032,-1.298000,0.000364688,20.96580855,2.343273984
2993,18027,-1.298000,0.000364743,251.7932661,0.869895444
2998,18022,-1.298000,0.000364201,180.4662527,1.651505644
3003,18017,-1.298000,0.000362829,185.4556149,1.723995992
3008,18012,-1.298000,0.000360314,162.3075059,0.611674524
3013,18007,-1.298000,0.000357407,300.3435013,1.665710917
3018,18002,-1.298000,0.000355067,170.2948787,0.642348072
3023,17997,-1.298000,0.000353329,262.3760014,1.647470166
3028,17992,-1.298000,0.000353464,144.9947829,0.20930949
3033,17987,-1.298000,0.000356206,41.7711377,2.581342543
3038,17982,-1.298000,0.000360276,140.4883646,0.625148122
3043,17977,-1.298000,0.000364727,186.8687508,0.715896287
3048,17972,-1.298000,0.000367657,253.6795997,1.141755646
3053,17967,-1.298000,0.000370458,15.77846599,0.862099175
3058,17962,-1.298000,0.000373246,82.08362519,2.251569388
3063,17957,-1.298000,0.00037565,298.7030882,0.956816914
3068,17952,-1.298000,0.000377513,170.290344,0.322109026
3073,17947,-1.298000,0.000378933,135.5005003,2.418407605
3078,17942,-1.298000,0.00037987,153.2259901,0.756175363
3083,17937,-1.298000,0.000379997,202.1342205,1.511714556
3088,17932,-1.298000,0.000379938,170.5949783,0.119552516
3093,17927,-1.298000,0.000380691,70.860654,1.872581263
3098,17922,-1.298000,0.00038059,303.3387278,1.162324823
3103,17917,-1.298000,0.000378299,205.7012673,0.924821549
3108,17912,-1.298000,0.000374321,134.9161574,0.996149887
3113,17907,-1.298000,0.000371811,34.46596218,2.794779739
3118,17902,-1.298000,0.000366529,136.1140879,1.403968681
3123,17897,-1.298000,0.00036208,27.37847735,0.00021298
3128,17892,-1.298000,0.000356865,69.37287757,2.177341512
3133,17887,-1.298000,0.000349236,340.8993903,1.198448758
3138,17882,-1.298000,0.000346146,290.776443,0.068770902
3143,17877,-1.298000,0.00034597,44.80702177,1.913227167
3148,17872,-1.298000,0.000347138,347.819667,1.318056038
3153,17867,-1.298000,0.000350039,217.0810058,1.775307409
3158,17862,-1.298000,0.000348591,243.5770957,1.853953831
3163,17857,-1.298000,0.000348037,87.37435313,1.362290017
3168,17852,-1.298000,0.000352285,336.5408671,0.147255828
3173,17847,-1.298000,0.000354797,191.9302148,2.159082518
